 format: day,hour,forecast,value  location:60_127 Start : 20240101 
 1,0200,+6,5.000000 
 1,0200,+7,4.000000 
 1,0200,+8,3.000000 
 1,0200,+9,3.000000 
 1,0200,+10,3.000000 
 1,0200,+11,3.000000 
 1,0200,+12,3.000000 
 1,0200,+13,3.000000 
 1,0200,+14,3.000000 
 1,0200,+15,2.000000 
 1,0200,+16,2.000000 
 1,0200,+17,2.000000 
 1,0200,+18,2.000000 
 1,0200,+19,2.000000 
 1,0200,+20,2.000000 
 1,0200,+21,2.000000 
 1,0200,+22,2.000000 
 1,0200,+23,2.000000 
 1,0200,+24,2.000000 
 1,0200,+25,3.000000 
 1,0200,+26,4.000000 
 1,0200,+27,4.000000 
 1,0200,+28,4.000000 
 1,0200,+29,4.000000 
 1,0200,+30,4.000000 
 1,0200,+31,3.000000 
 1,0200,+32,3.000000 
 1,0200,+33,3.000000 
 1,0200,+34,2.000000 
 1,0200,+35,2.000000 
 1,0200,+36,2.000000 
 1,0200,+37,2.000000 
 1,0200,+38,1.000000 
 1,0200,+39,1.000000 
 1,0200,+40,1.000000 
 1,0200,+41,1.000000 
 1,0200,+42,1.000000 
 1,0200,+43,1.000000 
 1,0200,+44,1.000000 
 1,0200,+45,0.000000 
 1,0200,+46,1.000000 
 1,0200,+47,2.000000 
 1,0200,+48,3.000000 
 1,0200,+49,3.000000 
 1,0200,+50,4.000000 
 1,0200,+51,4.000000 
 1,0200,+52,4.000000 
 1,0200,+53,4.000000 
 1,0200,+54,4.000000 
 1,0200,+55,2.000000 
 1,0200,+56,2.000000 
 1,0200,+57,1.000000 
 1,0200,+58,0.000000 
 1,0200,+59,0.000000 
 1,0200,+60,-1.000000 
 1,0200,+61,-1.000000 
 1,0500,+6,3.000000 
 1,0500,+7,3.000000 
 1,0500,+8,3.000000 
 1,0500,+9,3.000000 
 1,0500,+10,3.000000 
 1,0500,+11,3.000000 
 1,0500,+12,2.000000 
 1,0500,+13,2.000000 
 1,0500,+14,2.000000 
 1,0500,+15,2.000000 
 1,0500,+16,2.000000 
 1,0500,+17,2.000000 
 1,0500,+18,2.000000 
 1,0500,+19,2.000000 
 1,0500,+20,2.000000 
 1,0500,+21,2.000000 
 1,0500,+22,3.000000 
 1,0500,+23,4.000000 
 1,0500,+24,4.000000 
 1,0500,+25,4.000000 
 1,0500,+26,4.000000 
 1,0500,+27,4.000000 
 1,0500,+28,3.000000 
 1,0500,+29,3.000000 
 1,0500,+30,3.000000 
 1,0500,+31,2.000000 
