 format: day,hour,forecast,value  location:60_127 Start : 20240101 
 1,0200,+6,0.500000 
 1,0200,+7,0.800000 
 1,0200,+8,1.000000 
 1,0200,+9,0.800000 
 1,0200,+10,0.800000 
 1,0200,+11,0.900000 
 1,0200,+12,0.800000 
 1,0200,+13,0.600000 
 1,0200,+14,0.500000 
 1,0200,+15,-0.100000 
 1,0200,+16,-0.500000 
 1,0200,+17,-0.900000 
 1,0200,+18,-0.900000 
 1,0200,+19,-1.000000 
 1,0200,+20,-1.100000 
 1,0200,+21,-1.100000 
 1,0200,+22,-0.900000 
 1,0200,+23,-0.900000 
 1,0200,+24,-0.700000 
 1,0200,+25,-0.400000 
 1,0200,+26,-0.100000 
 1,0200,+27,0.100000 
 1,0200,+28,0.100000 
 1,0200,+29,0.200000 
 1,0200,+30,0.200000 
 1,0200,+31,0.300000 
 1,0200,+32,0.400000 
 1,0200,+33,0.400000 
 1,0200,+34,0.600000 
 1,0200,+35,0.400000 
 1,0200,+36,0.200000 
 1,0200,+37,0.000000 
 1,0200,+38,-0.300000 
 1,0200,+39,-0.600000 
 1,0200,+40,-0.600000 
 1,0200,+41,-0.700000 
 1,0200,+42,-0.700000 
 1,0200,+43,-0.500000 
 1,0200,+44,-0.100000 
 1,0200,+45,0.100000 
 1,0200,+46,0.200000 
 1,0200,+47,-0.200000 
 1,0200,+48,-0.500000 
 1,0200,+49,-0.800000 
 1,0200,+50,-1.100000 
 1,0200,+51,-0.900000 
 1,0200,+52,-1.300000 
 1,0200,+53,-1.600000 
 1,0200,+54,-0.900000 
 1,0200,+55,-0.600000 
 1,0200,+56,-0.700000 
 1,0200,+57,-0.800000 
 1,0200,+58,-0.900000 
 1,0200,+59,-0.700000 
 1,0200,+60,-0.600000 
 1,0200,+61,-0.600000 
 1,0500,+6,0.800000 
 1,0500,+7,0.800000 
 1,0500,+8,0.900000 
 1,0500,+9,0.800000 
 1,0500,+10,0.600000 
 1,0500,+11,0.500000 
 1,0500,+12,-0.100000 
 1,0500,+13,-0.500000 
 1,0500,+14,-0.900000 
 1,0500,+15,-0.900000 
 1,0500,+16,-1.000000 
 1,0500,+17,-1.100000 
 1,0500,+18,-1.100000 
 1,0500,+19,-0.900000 
 1,0500,+20,-0.900000 
 1,0500,+21,-0.700000 
 1,0500,+22,-0.400000 
 1,0500,+23,-0.100000 
 1,0500,+24,0.100000 
 1,0500,+25,0.100000 
 1,0500,+26,0.200000 
 1,0500,+27,0.200000 
 1,0500,+28,0.300000 
 1,0500,+29,0.400000 
 1,0500,+30,0.400000 
 1,0500,+31,0.600000 
 1,0500,+32,0.400000 
 1,0500,+33,0.200000 
 1,0500,+34,0.000000 
 1,0500,+35,-0.300000 
 1,0500,+36,-0.600000 
 1,0500,+37,-0.600000 
 1,0500,+38,-0.700000 
 1,0500,+39,-0.700000 
 1,0500,+40,-0.500000 
 1,0500,+41,-0.100000 
 1,0500,+42,0.100000 
 1,0500,+43,0.200000 
 1,0500,+44,-0.200000 
 1,0500,+45,-0.500000 
 1,0500,+46,-0.800000 
 1,0500,+47,-1.100000 
 1,0500,+48,-0.900000 
 1,0500,+49,-1.300000 
 1,0500,+50,-1.600000 
 1,0500,+51,-0.900000 
 1,0500,+52,-0.600000 
 1,0500,+53,-0.700000 
 1,0500,+54,-0.800000 
 1,0500,+55,-0.900000 
 1,0500,+56,-0.700000 
 1,0500,+57,-0.600000 
 1,0500,+58,-0.600000 
 1,0800,+6,1.200000 
 1,0800,+7,1.500000 
 1,0800,+8,1.400000 
 1,0800,+9,0.600000 
 1,0800,+10,-0.100000 
 1,0800,+11,-0.800000 
 1,0800,+12,-0.900000 
 1,0800,+13,-0.900000 
 1,0800,+14,-1.000000 
 1,0800,+15,-1.100000 
 1,0800,+16,-1.100000 
 1,0800,+17,-1.000000 
 1,0800,+18,-0.900000 
 1,0800,+19,-0.600000 
 1,0800,+20,-0.400000 
 1,0800,+21,-0.100000 
 1,0800,+22,0.100000 
 1,0800,+23,0.000000 
 1,0800,+24,0.000000 
 1,0800,+25,-0.100000 
 1,0800,+26,0.000000 
 1,0800,+27,0.300000 
 1,0800,+28,0.200000 
 1,0800,+29,0.200000 
 1,0800,+30,-0.100000 
 1,0800,+31,-0.500000 
 1,0800,+32,-0.800000 
 1,0800,+33,-0.900000 
 1,0800,+34,-0.700000 
 1,0800,+35,-0.600000 
 1,0800,+36,-0.600000 
 1,0800,+37,-0.100000 
 1,0800,+38,0.300000 
 1,0800,+39,0.400000 
 1,0800,+40,0.300000 
 1,0800,+41,0.000000 
 1,0800,+42,-0.100000 
 1,0800,+43,-0.100000 
 1,0800,+44,-0.500000 
 1,0800,+45,-1.000000 
 1,0800,+46,-1.100000 
 1,0800,+47,-1.200000 
 1,0800,+48,-1.200000 
 1,0800,+49,-1.400000 
 1,0800,+50,-1.300000 
 1,0800,+51,-1.100000 
 1,0800,+52,-1.000000 
 1,0800,+53,-0.800000 
 1,0800,+54,-0.700000 
 1,0800,+55,-0.600000 
 1,0800,+56,-0.500000 
 1,0800,+57,-0.500000 
 1,0800,+58,-0.400000 
 1,0800,+59,-0.300000 
 1,0800,+60,-0.200000 
 1,0800,+61,-0.100000 
 1,0800,+62,0.300000 
 1,0800,+63,0.400000 
 1,0800,+64,0.600000 
 1,0800,+65,0.900000 
 1,0800,+66,1.100000 
 1,0800,+67,1.200000 
 1,0800,+68,1.200000 
 1,0800,+69,1.300000 
 1,0800,+70,1.600000 
 1,0800,+71,1.600000 
 1,0800,+72,1.300000 
 1,0800,+73,1.100000 
 1,0800,+74,1.200000 
 1,0800,+75,1.300000 
 1,0800,+76,1.400000 
 1,0800,+77,1.500000 
 1,0800,+78,1.600000 
 1,0800,+79,1.700000 
 1,1100,+6,0.600000 
 1,1100,+7,-0.100000 
 1,1100,+8,-0.800000 
 1,1100,+9,-0.900000 
 1,1100,+10,-0.900000 
 1,1100,+11,-1.000000 
 1,1100,+12,-1.100000 
 1,1100,+13,-1.100000 
 1,1100,+14,-1.000000 
 1,1100,+15,-0.900000 
 1,1100,+16,-0.600000 
 1,1100,+17,-0.400000 
 1,1100,+18,-0.100000 
 1,1100,+19,0.100000 
 1,1100,+20,0.000000 
 1,1100,+21,0.000000 
 1,1100,+22,-0.100000 
 1,1100,+23,0.000000 
 1,1100,+24,0.300000 
 1,1100,+25,0.200000 
 1,1100,+26,0.200000 
 1,1100,+27,-0.100000 
 1,1100,+28,-0.500000 
 1,1100,+29,-0.800000 
 1,1100,+30,-0.900000 
 1,1100,+31,-0.700000 
 1,1100,+32,-0.600000 
 1,1100,+33,-0.600000 
 1,1100,+34,-0.100000 
 1,1100,+35,0.300000 
 1,1100,+36,0.400000 
 1,1100,+37,0.300000 
 1,1100,+38,0.000000 
 1,1100,+39,-0.100000 
 1,1100,+40,-0.100000 
 1,1100,+41,-0.500000 
 1,1100,+42,-1.000000 
 1,1100,+43,-1.100000 
 1,1100,+44,-1.200000 
 1,1100,+45,-1.200000 
 1,1100,+46,-1.400000 
 1,1100,+47,-1.300000 
 1,1100,+48,-1.100000 
 1,1100,+49,-1.000000 
 1,1100,+50,-0.800000 
 1,1100,+51,-0.700000 
 1,1100,+52,-0.600000 
 1,1100,+53,-0.500000 
 1,1100,+54,-0.500000 
 1,1100,+55,-0.400000 
 1,1100,+56,-0.300000 
