 format: day,hour,forecast,value  location:60_127 Start : 20240101 
 1,0200,+6,6.000000 
 1,0200,+7,5.000000 
 1,0200,+8,5.000000 
 1,0500,+6,5.000000 
 1,0500,+7,5.000000 
 1,0800,+6,5.000000 
 1,0800,+7,4.000000 
 1,0800,+8,5.000000 
 1,1100,+6,5.000000 
 1,1100,+7,4.000000 
 1,1100,+8,5.000000 
 1,1400,+6,5.000000 
 1,1400,+7,4.000000 
 1,1400,+8,5.000000 
 1,1700,+6,5.000000 
 1,1700,+7,4.000000 
 1,1700,+8,5.000000 
 1,2000,+6,5.000000 
 1,2000,+7,5.000000 
 1,2000,+8,6.000000 
 1,2300,+6,5.000000 
 1,2300,+7,5.000000 
 1,2300,+8,6.000000 
 Start : 20240102 
 2,0200,+6,5.000000 
 2,0200,+7,5.000000 
 2,0200,+8,6.000000 
 2,0500,+6,5.000000 
 2,0500,+7,6.000000 
 2,0800,+6,5.000000 
 2,0800,+7,6.000000 
 2,0800,+8,6.000000 
 2,1100,+6,5.000000 
 2,1100,+7,6.000000 
 2,1100,+8,6.000000 
 2,1400,+6,5.000000 
 2,1400,+7,6.000000 
 2,1400,+8,6.000000 
 2,1700,+6,5.000000 
 2,1700,+7,6.000000 
 2,1700,+8,6.000000 
 2,2000,+6,5.000000 
 2,2000,+7,6.000000 
 2,2000,+8,6.000000 
 2,2300,+6,5.000000 
 2,2300,+7,6.000000 
 2,2300,+8,6.000000 
 Start : 20240103 
 3,0200,+6,5.000000 
 3,0200,+7,6.000000 
 3,0200,+8,6.000000 
 3,0500,+6,6.000000 
 3,0500,+7,6.000000 
 3,0800,+6,6.000000 
 3,0800,+7,6.000000 
 3,0800,+8,3.000000 
 3,1100,+6,6.000000 
 3,1100,+7,6.000000 
 3,1100,+8,3.000000 
 3,1400,+6,6.000000 
 3,1400,+7,6.000000 
 3,1400,+8,3.000000 
 3,1700,+6,6.000000 
 3,1700,+7,6.000000 
 3,1700,+8,3.000000 
 3,2000,+6,6.000000 
 3,2000,+7,6.000000 
 3,2000,+8,3.000000 
 3,2300,+6,6.000000 
 3,2300,+7,6.000000 
 3,2300,+8,3.000000 
 Start : 20240104 
 4,0200,+6,6.000000 
 4,0200,+7,6.000000 
 4,0200,+8,3.000000 
 4,0500,+6,6.000000 
 4,0500,+7,3.000000 
 4,0800,+6,7.000000 
 4,0800,+7,3.000000 
 4,0800,+8,-3.000000 
 4,1100,+6,7.000000 
 4,1100,+7,3.000000 
 4,1100,+8,-3.000000 
 4,1400,+6,7.000000 
 4,1400,+7,3.000000 
 4,1400,+8,-3.000000 
 4,1700,+6,7.000000 
 4,1700,+7,3.000000 
 4,1700,+8,-3.000000 
 4,2000,+6,8.000000 
 4,2000,+7,4.000000 
 4,2000,+8,-3.000000 
 4,2300,+6,8.000000 
 4,2300,+7,4.000000 
 4,2300,+8,-3.000000 
 Start : 20240105 
 5,0200,+6,8.000000 
 5,0200,+7,4.000000 
