 format: day,hour,forecast,value  location:60_127 Start : 20240101 
 1,0200,+6,75.000000 
 1,0200,+7,80.000000 
 1,0200,+8,85.000000 
 1,0200,+9,85.000000 
 1,0200,+10,85.000000 
 1,0200,+11,85.000000 
 1,0200,+12,90.000000 
 1,0200,+13,90.000000 
 1,0200,+14,90.000000 
 1,0200,+15,90.000000 
 1,0200,+16,90.000000 
 1,0200,+17,90.000000 
 1,0200,+18,90.000000 
 1,0200,+19,90.000000 
 1,0200,+20,90.000000 
 1,0200,+21,90.000000 
 1,0200,+22,90.000000 
 1,0200,+23,85.000000 
 1,0200,+24,80.000000 
 1,0200,+25,75.000000 
 1,0200,+26,70.000000 
 1,0200,+27,70.000000 
 1,0200,+28,65.000000 
 1,0200,+29,65.000000 
 1,0200,+30,65.000000 
 1,0200,+31,70.000000 
 1,0200,+32,75.000000 
 1,0200,+33,75.000000 
 1,0200,+34,75.000000 
 1,0200,+35,80.000000 
 1,0200,+36,80.000000 
 1,0200,+37,85.000000 
 1,0200,+38,85.000000 
 1,0200,+39,85.000000 
 1,0200,+40,85.000000 
 1,0200,+41,90.000000 
 1,0200,+42,90.000000 
 1,0200,+43,85.000000 
 1,0200,+44,90.000000 
 1,0200,+45,90.000000 
 1,0200,+46,85.000000 
 1,0200,+47,85.000000 
 1,0200,+48,80.000000 
 1,0200,+49,80.000000 
 1,0200,+50,75.000000 
 1,0200,+51,75.000000 
 1,0200,+52,70.000000 
 1,0200,+53,70.000000 
 1,0200,+54,75.000000 
 1,0200,+55,75.000000 
 1,0200,+56,75.000000 
 1,0200,+57,80.000000 
 1,0200,+58,80.000000 
 1,0200,+59,80.000000 
 1,0200,+60,85.000000 
 1,0200,+61,85.000000 
 1,0500,+6,85.000000 
 1,0500,+7,85.000000 
 1,0500,+8,85.000000 
 1,0500,+9,90.000000 
 1,0500,+10,90.000000 
 1,0500,+11,90.000000 
 1,0500,+12,90.000000 
 1,0500,+13,90.000000 
 1,0500,+14,90.000000 
 1,0500,+15,90.000000 
 1,0500,+16,90.000000 
 1,0500,+17,90.000000 
 1,0500,+18,90.000000 
 1,0500,+19,90.000000 
 1,0500,+20,85.000000 
 1,0500,+21,80.000000 
 1,0500,+22,75.000000 
 1,0500,+23,70.000000 
 1,0500,+24,70.000000 
 1,0500,+25,65.000000 
 1,0500,+26,65.000000 
 1,0500,+27,65.000000 
 1,0500,+28,70.000000 
 1,0500,+29,75.000000 
 1,0500,+30,75.000000 
 1,0500,+31,75.000000 
 1,0500,+32,80.000000 
 1,0500,+33,80.000000 
 1,0500,+34,85.000000 
 1,0500,+35,85.000000 
 1,0500,+36,85.000000 
 1,0500,+37,85.000000 
 1,0500,+38,90.000000 
 1,0500,+39,90.000000 
 1,0500,+40,85.000000 
 1,0500,+41,90.000000 
 1,0500,+42,90.000000 
 1,0500,+43,85.000000 
 1,0500,+44,85.000000 
 1,0500,+45,80.000000 
 1,0500,+46,80.000000 
 1,0500,+47,75.000000 
 1,0500,+48,75.000000 
 1,0500,+49,70.000000 
 1,0500,+50,70.000000 
 1,0500,+51,75.000000 
 1,0500,+52,75.000000 
 1,0500,+53,75.000000 
 1,0500,+54,80.000000 
 1,0500,+55,80.000000 
 1,0500,+56,80.000000 
 1,0500,+57,85.000000 
 1,0500,+58,85.000000 
 1,0800,+6,80.000000 
 1,0800,+7,80.000000 
 1,0800,+8,85.000000 
 1,0800,+9,90.000000 
 1,0800,+10,90.000000 
 1,0800,+11,90.000000 
 1,0800,+12,90.000000 
 1,0800,+13,90.000000 
 1,0800,+14,90.000000 
 1,0800,+15,90.000000 
 1,0800,+16,90.000000 
 1,0800,+17,90.000000 
 1,0800,+18,85.000000 
 1,0800,+19,80.000000 
 1,0800,+20,75.000000 
 1,0800,+21,70.000000 
 1,0800,+22,65.000000 
 1,0800,+23,65.000000 
 1,0800,+24,65.000000 
 1,0800,+25,70.000000 
 1,0800,+26,75.000000 
 1,0800,+27,75.000000 
 1,0800,+28,75.000000 
 1,0800,+29,75.000000 
 1,0800,+30,75.000000 
 1,0800,+31,75.000000 
 1,0800,+32,80.000000 
 1,0800,+33,80.000000 
 1,0800,+34,80.000000 
 1,0800,+35,80.000000 
 1,0800,+36,85.000000 
 1,0800,+37,85.000000 
 1,0800,+38,85.000000 
 1,0800,+39,90.000000 
 1,0800,+40,90.000000 
 1,0800,+41,85.000000 
 1,0800,+42,85.000000 
 1,0800,+43,80.000000 
 1,0800,+44,75.000000 
 1,0800,+45,75.000000 
 1,0800,+46,75.000000 
 1,0800,+47,75.000000 
 1,0800,+48,70.000000 
 1,0800,+49,70.000000 
 1,0800,+50,75.000000 
 1,0800,+51,75.000000 
 1,0800,+52,75.000000 
 1,0800,+53,75.000000 
 1,0800,+54,75.000000 
 1,0800,+55,75.000000 
 1,0800,+56,75.000000 
 1,0800,+57,80.000000 
 1,0800,+58,80.000000 
 1,0800,+59,80.000000 
 1,0800,+60,80.000000 
 1,0800,+61,80.000000 
 1,0800,+62,85.000000 
 1,0800,+63,80.000000 
 1,0800,+64,75.000000 
 1,0800,+65,70.000000 
 1,0800,+66,60.000000 
 1,0800,+67,60.000000 
 1,0800,+68,55.000000 
 1,0800,+69,60.000000 
 1,0800,+70,60.000000 
 1,0800,+71,60.000000 
 1,0800,+72,70.000000 
 1,0800,+73,75.000000 
 1,0800,+74,80.000000 
 1,0800,+75,75.000000 
 1,0800,+76,75.000000 
 1,0800,+77,80.000000 
 1,0800,+78,80.000000 
 1,0800,+79,80.000000 
 1,1100,+6,90.000000 
 1,1100,+7,90.000000 
 1,1100,+8,90.000000 
 1,1100,+9,90.000000 
 1,1100,+10,90.000000 
 1,1100,+11,90.000000 
 1,1100,+12,90.000000 
 1,1100,+13,90.000000 
 1,1100,+14,90.000000 
 1,1100,+15,85.000000 
 1,1100,+16,80.000000 
 1,1100,+17,75.000000 
 1,1100,+18,70.000000 
 1,1100,+19,65.000000 
 1,1100,+20,65.000000 
 1,1100,+21,65.000000 
 1,1100,+22,70.000000 
 1,1100,+23,75.000000 
 1,1100,+24,75.000000 
 1,1100,+25,75.000000 
 1,1100,+26,75.000000 
 1,1100,+27,75.000000 
 1,1100,+28,75.000000 
 1,1100,+29,80.000000 
 1,1100,+30,80.000000 
 1,1100,+31,80.000000 
 1,1100,+32,80.000000 
